carrera,total_respuestas,kpi_satisfaccion_general,kpi_comprension,kpi_atencion,kpi_nivelacion,kpi_coherencia,pct_riesgo_alto,pct_riesgo_medio,pct_riesgo_bajo,pct_sentimiento_positivo,pct_sentimiento_negativo,emocion_predominante_global,brecha_satisfaccion
Medicina,723,0.723,0.621,0.242,0.58,0.579,6.9,49.0,44.1,53.9,20.3,enojado,0.75
Ingeniería Civil,759,0.721,0.623,0.238,0.581,0.578,8.7,47.3,44.0,56.4,20.4,sorprendido,0.833
Psicología,633,0.722,0.618,0.243,0.581,0.581,8.1,49.1,42.8,56.1,19.9,neutral,0.75
Administración,680,0.711,0.593,0.238,0.562,0.594,12.2,48.8,39.0,54.1,20.1,sorprendido,0.75
Derecho,693,0.712,0.613,0.243,0.574,0.6,9.7,48.2,42.1,57.7,17.3,neutral,0.75
Arquitectura,630,0.721,0.602,0.243,0.572,0.586,9.0,49.5,41.4,55.9,20.6,neutral,0.75
Ingeniería de Sistemas,488,0.716,0.6,0.241,0.566,0.587,11.7,48.2,40.2,51.6,23.6,sorprendido,0.75
Contabilidad,594,0.718,0.607,0.248,0.572,0.599,10.6,47.5,41.9,52.7,23.4,feliz,0.667
